dataid,building_type,city,pv,house_construction_year,total_square_footage,egauge_min_time,egauge_max_time,use,grid,gen
6691,Single-Family Home,Austin,yes,1977,2000,03/06/2014 0:00,12/31/2016 3:34,yes,yes,yes
6836,Single-Family Home,Austin,yes,2008,1217,03/26/2014 0:00,11/12/2016 2:59,yes,yes,yes
6871,Single-Family Home,Austin,yes,2009,1439,05/24/2012 19:00,06/11/2015 2:46,yes,yes,yes
6941,Single-Family Home,Austin,yes,2007,2638,10/30/2012 19:00,12/31/2016 2:34,yes,yes,yes
6979,Single-Family Home,Austin,yes,2008,1946,05/11/2012 1:00,06/13/2013 0:00,yes,yes,yes
6990,Single-Family Home,Austin,yes,2008,2345,07/13/2012 11:45,12/31/2016 2:59,yes,yes,yes
7016,Single-Family Home,Austin,yes,2008,2710,05/02/2012 19:00,12/31/2016 8:34,yes,yes,yes
7017,Single-Family Home,Austin,yes,2008,3249,01/23/2014 18:00,12/31/2016 2:59,yes,yes,yes
7030,Single-Family Home,Austin,yes,2007,2122,08/05/2013 19:00,12/31/2016 6:37,yes,yes,yes
7036,Single-Family Home,Austin,yes,2007,2075,08/29/2014 19:00,01/25/2015 23:59,yes,yes,yes
7108,Single-Family Home,Austin,yes,2011,1435,05/18/2012 19:00,12/31/2016 6:59,yes,yes,yes
7240,Single-Family Home,Austin,yes,2010,2196,05/02/2012 19:00,10/06/2013 18:59,yes,yes,yes
7429,Single-Family Home,Austin,yes,2007,2521,05/02/2012 19:00,12/31/2016 3:55,yes,yes,yes
7504,Single-Family Home,Austin,yes,,,12/11/2012 18:00,12/31/2016 5:59,yes,yes,yes
7510,Single-Family Home,Austin,yes,1991,3780,08/17/2012 19:00,07/27/2016 0:59,yes,yes,yes
7536,Single-Family Home,Austin,yes,2008,2710,10/25/2012 19:00,12/31/2016 2:33,yes,yes,yes
7560,Single-Family Home,Austin,yes,2007,2345,08/19/2014 0:00,12/31/2016 8:37,yes,yes,yes
7627,Single-Family Home,Austin,yes,2008,2669,05/02/2012 19:00,12/31/2016 6:59,yes,yes,yes
7680,Single-Family Home,Austin,yes,2008,2006,11/06/2012 18:00,12/31/2016 5:36,yes,yes,yes
7719,Single-Family Home,Austin,yes,2008,2919,05/15/2014 0:00,12/31/2016 2:59,yes,yes,yes
7731,Single-Family Home,Austin,yes,2007,2194,05/02/2012 19:00,12/31/2016 4:59,yes,yes,yes
7739,Single-Family Home,Austin,yes,2008,1439,05/02/2012 19:00,12/31/2016 4:34,yes,yes,yes
7767,Single-Family Home,Austin,yes,2008,1252,05/02/2012 19:00,11/19/2016 4:38,yes,yes,yes
7788,Single-Family Home,Austin,yes,2008,1434,10/24/2013 19:00,12/31/2016 6:59,yes,yes,yes
7793,Single-Family Home,Austin,yes,1998,2687,04/24/2014 0:00,12/31/2016 2:59,yes,yes,yes
